t,x,y,theta,v,w
11.057,0.0000,0.0000,0.0000,0.0000,0.0000
11.165,0.0000,0.0000,0.0000,0.0000,0.0000
11.266,0.0000,0.0000,0.0000,0.0000,0.0000
11.366,0.0000,0.0000,0.0000,0.0000,0.0000
11.464,0.0000,0.0000,0.0000,0.0000,0.0000
11.573,0.0000,0.0000,0.0000,0.0000,0.0000
11.656,0.0000,0.0000,0.0000,0.0000,0.0000
11.763,0.0000,0.0000,0.0000,0.0000,0.0000
11.863,0.0000,0.0000,0.0000,0.0000,0.0000
11.965,0.0000,0.0000,0.0000,0.0000,0.0000
12.064,0.0000,0.0000,0.0000,0.0000,0.0000
12.164,0.0000,0.0000,0.0000,0.0000,0.0000
12.263,0.0000,0.0000,0.0000,0.0000,0.0000
12.364,0.0000,0.0000,0.0000,0.0000,0.0000
12.455,0.0000,0.0000,0.0000,0.0000,0.0000
12.555,0.0000,0.0000,0.0000,0.0000,0.0000
12.664,0.0000,0.0000,0.0000,0.0000,0.0000
12.765,0.0000,0.0000,0.0000,0.0000,0.0000
12.856,0.0000,0.0000,0.0000,0.0000,0.0000
12.964,0.0000,0.0000,0.0000,0.0000,0.0000
13.064,0.0000,0.0000,0.0000,0.0000,0.0000
13.165,0.0000,0.0000,0.0000,0.0000,0.0000
13.264,0.0000,0.0000,0.0000,0.0000,0.0000
13.364,0.0000,0.0000,0.0000,0.0000,0.0000
13.463,0.0000,0.0000,0.0000,0.0000,0.0000
13.565,0.0000,0.0000,0.0000,0.0000,0.0000
13.664,0.0000,0.0000,0.0000,0.0000,0.0000
13.764,0.0000,0.0000,0.0000,0.0000,0.0000
13.854,0.0000,0.0000,0.0000,0.0000,0.0000
13.964,0.0000,0.0000,0.0000,0.0000,0.0000
14.055,0.0000,0.0000,0.0000,0.0000,0.0000
14.163,0.0000,0.0000,0.0000,0.0000,0.0000
14.263,0.0000,0.0000,0.0000,0.0000,0.0000
14.365,0.0000,0.0000,0.0000,0.0000,0.0000
14.455,0.0000,0.0000,0.0000,0.0000,0.0000
14.564,0.0000,0.0000,0.0000,0.0000,0.0000
14.664,0.0000,0.0000,0.0000,0.0000,0.0000
14.765,0.0000,0.0000,0.0000,0.0000,0.0000
14.864,0.0000,0.0000,0.0000,0.0000,0.0000
14.964,0.0000,0.0000,0.0000,0.0000,0.0000
15.064,0.0000,0.0000,0.0000,0.0000,0.0000
15.164,0.0000,0.0000,0.0000,0.0000,0.0000
15.265,0.0000,0.0000,0.0000,0.0000,0.0000
15.363,0.0000,0.0000,0.0000,0.0000,0.0000
15.464,0.0000,0.0000,0.0000,0.0000,0.0000
15.565,0.0000,0.0000,0.0000,0.0000,0.0000
15.664,0.0000,0.0000,0.0000,0.0000,0.0000
15.775,0.0000,0.0000,0.0000,0.0000,0.0000
15.864,0.0000,0.0000,0.0000,0.0000,0.0000
15.956,0.0000,0.0000,0.0000,0.0000,0.0000
16.063,0.0000,0.0000,0.0000,0.0000,0.0000
16.163,0.0000,0.0000,0.0000,0.0000,0.0000
16.257,0.0000,0.0000,0.0000,0.0000,0.0000
16.363,0.0000,0.0000,0.0000,0.0000,0.0000
